answer,guessed,num_guessed,time_to_solve
inner,oater#slier#nicer#infer#inker#inner,6,1.55
dance,oater#maile#sayne#dance,4,1.55
froth,roate#grots#broth#froth,4,1.42
unfit,orate#tulsi#incut#unfit,4,1.6
manic,orate#anils#canid#panic#manic,5,1.51
briar,roate#liras#invar#briar,4,1.69
fanny,oater#nails#cajun#handy#mangy#wanky#fanny,7,1.59
tried,oater#tries#tried,3,1.49
acorn,oater#soral#aroid#acorn,4,1.79
ozone,orate#oldie#ounce#ohone#ozone,5,1.63
split,oater#lints#tulsi#split,4,1.51
comma,oater#aloin#codas#cobza#comma,5,1.59
acute,roate#waite#acute,3,1.46
pinky,orate#lysin#mincy#dingy#hinky#pinky,6,1.63
skull,oater#lysin#schul#skull,4,1.91
quiet,orate#lites#quiet,3,1.68
kneed,roate#liens#queyn#kneed,4,1.95
fruit,orate#trild#bruit#fruit,4,1.63
could,roate#noils#could,3,1.71
corny,oater#loirs#cornu#corny,4,1.84
furry,orate#nirls#curdy#murky#furzy#furry,6,1.63
crave,orate#irade#urase#crane#crape#crame#crake#crave,8,1.8
bland,orate#snail#clang#bland,4,1.55
daily,orate#anils#daily,3,1.66
baler,oater#laser#haler#paler#baler,5,1.62
stump,oater#lints#scuft#study#stump,5,1.55
psalm,oater#anils#scaly#psalm,4,1.66
jetty,oater#istle#fetch#getup#netty#betty#jetty,7,1.59
roach,oater#soral#moira#roach,4,1.82
gavel,orate#alien#laces#haled#bagel#gavel,6,1.88
curly,oater#nirls#curly,3,1.79
hunch,oater#lysin#dunch#punch#munch#bunch#hunch,7,1.71
fifth,roate#lints#dicty#fifth,4,1.63
spear,roate#ariel#earns#shear#spear,5,1.93
maple,orate#aisle#wanle#caple#maple,5,1.75
baste,orate#waite#caste#haste#paste#baste,6,1.67
foray,orate#soral#korai#coram#foray,5,1.84
pried,oater#riles#cried#pried,4,1.59
chili,orate#lysin#picul#child#chili,5,1.71
swept,orate#islet#scent#swept,4,1.68
creme,roate#birle#sucre#gryce#crepe#creme,6,1.62
lusty,oater#lints#lusty,3,1.75
froze,roate#drole#irone#prose#crome#grove#broke#froze,8,1.69
optic,roate#thiol#stoic#ontic#optic,5,1.81
realm,roate#reals#realm,3,1.82
coach,orate#loans#coady#coach,4,1.59
flunk,oater#lysin#clung#plunk#blunk#flunk,6,1.8
agate,oater#telia#stean#acute#amate#agate,6,1.87
grimy,oater#nirls#chiru#yrivd#primy#grimy,6,1.95
risky,oater#nirls#risky,3,1.65
leaky,roate#elain#leads#leach#leafy#leaky,6,1.59
worse,oater#reoil#corse#dorse#horse#morse#gorse#worse,8,2.0
mince,oater#nelis#yince#mince,4,1.86
sassy,roate#anils#saucy#sappy#sammy#saggy#savvy#sassy,8,1.85
smock,oater#linos#scudo#shock#smock,5,1.75
drake,roate#glare#irade#drape#drake,5,1.69
prank,oater#rials#franc#grand#prank,5,1.87
sinew,oater#silen#sined#sinew,4,2.03
brick,roate#nirls#chiru#pricy#brick,5,1.75
leant,oater#telia#leats#leant,4,1.88
cabal,orate#anils#ducal#cabal,4,1.77
puppy,oater#lysin#duchy#bumpy#guppy#yuppy#puppy,7,1.74
salon,oater#paoli#salon,3,1.83
stood,roate#tholi#snout#stock#stogy#stomp#stood,7,1.98
tibia,roate#alist#patin#tibia,4,1.75
catty,oater#lathi#patus#natty#catty,5,1.9
queue,roate#slice#nudge#queme#queue,5,1.85
offer,roate#oriel#ogres#oncer#omber#odder#offer,7,1.97
expel,oater#silen#cluey#lemed#wheel#expel,6,2.11
throb,oater#lirot#tyros#throb,4,1.9
spoke,roate#oldie#scone#shope#spoke,5,1.69
saner,orate#earls#saner,3,2.02
chill,orate#lysin#picul#chill,4,1.89
graph,orate#urali#crans#grapy#graph,5,1.82
crone,roate#drole#irone#crone,4,1.77
taken,roate#telia#taces#tapen#taken,5,2.04
dally,oater#nails#cauld#madly#dally,5,2.03
sloth,orate#volti#clots#sloth,4,1.77
prism,roate#nirls#crisp#prism,4,1.94
pupil,orate#lysin#bluid#pugil#pupil,5,1.88
cramp,orate#urali#crans#crapy#cramp,5,1.91
sheen,roate#liens#sneck#shewn#sheen,5,2.04
daunt,orate#tails#natch#daunt,4,2.05
caddy,roate#anils#gaucy#campy#caddy,5,1.84
brawn,orate#urali#crans#drawn#prawn#brawn,6,1.95
birch,oater#nirls#birch,3,1.87
randy,orate#lairs#carny#randy,4,2.14
homer,roate#soler#goier#doner#coyer#fouer#hoper#homer,8,1.94
whine,oater#lenis#niche#whine,4,2.09
shame,roate#liane#chase#shade#shape#shame,6,1.93
bully,orate#lysin#duply#muhly#fugly#cully#bully,7,1.95
grown,roate#droil#crons#proyn#grown,5,1.92
finer,oater#siler#nicer#diner#miner#biner#finer,7,1.88
dwell,orate#elsin#leuch#gyeld#dwell,5,1.93
voter,oater#noter#doter#voter,4,2.11
taker,roate#alert#terai#taser#taper#tamer#taber#taker,8,2.52
wispy,oater#lysin#dishy#pisky#wispy,5,2.12
adept,oater#telia#etnas#acute#adept,5,1.99
kinky,oater#lysin#mincy#dingy#hinky#pinky#zinky#kinky,8,2.05
slate,oater#telia#slate,3,2.18
shrub,roate#nirls#scrum#syrup#shrug#shrub,6,2.01
small,orate#snail#shaul#swayl#scall#spall#small,7,2.06
handy,roate#nails#cajun#handy,4,2.14
gripe,orate#brule#crise#pride#gripe,5,1.87
emcee,roate#slice#chyme#emcee,4,2.01
pesky,orate#nelis#sedum#pesky,4,2.13
islet,oater#islet,2,1.94
polyp,orate#linos#cloud#folky#polyp,5,2.03
click,roate#lysin#picul#child#climb#cliff#click,7,1.9
stray,oater#trail#scrat#stray,4,2.15
quote,oater#teloi#stone#quote,4,2.48
abhor,orate#soral#radio#acorn#abhor,5,2.27
sheet,roate#steil#scent#swept#sheet,5,2.1
riper,orate#slier#nicer#hider#piker#wiper#viper#riper,8,2.21
