answer,guessed,num_guessed,time_to_solve
pasty,semee#lassy#raspy#pasty,4,1.68
grimy,semee#thymy#loamy#primy#grimy,5,1.72
downy,semee#gayly#rooty#cocky#nouny#powny#downy,7,2.13
aback,semee#gayly#araba#abaci#aback,5,1.73
slain,semee#sassy#scala#slart#slain,5,1.6
chime,semee#maybe#horme#chime,4,1.64
blast,semee#lassy#clast#blast,4,2.06
coyly,semee#gayly#coyly,3,2.03
grave,semee#fayre#roate#irade#crane#brake#grape#grave,8,1.99
haunt,semee#gayly#taata#ratoo#haint#haunt,6,1.84
fella,semee#feyly#fella,3,1.61
maxim,semee#thymy#praam#oakum#maxim,5,1.86
solve,semee#sasse#soyle#solde#solve,5,1.75
beast,semee#gesso#newsy#reast#least#beast,6,1.92
snore,semee#sasse#soyle#store#score#snore,6,1.66
lunch,semee#gayly#loord#licit#lunch,5,1.87
cable,semee#fayre#kanae#haole#table#cable,6,1.7
amaze,semee#maybe#arame#amate#amaze,5,1.7
grand,semee#gayly#grana#grant#grand,5,1.8
piety,semee#faery#goety#piety,4,1.82
spire,semee#sasse#soyle#surge#stire#shire#spire,7,1.69
stomp,semee#smash#stymy#stomp,4,1.68
sleet,semee#snees#steer#sleet,4,1.65
cause,semee#rasse#paise#tawse#halse#cause,6,1.73
orbit,semee#gayly#poori#trior#orbit,5,2.36
fizzy,semee#gayly#rooty#chivy#ninny#biffy#fizzy,7,1.96
flaky,semee#gayly#alary#platy#blady#flaky,6,1.95
their,semee#faery#preon#their,4,1.9
boost,semee#lassy#roost#coost#boost,5,2.06
using,semee#lassy#boors#using,4,2.17
modem,semee#matey#mooed#moder#model#modem,6,1.74
upset,semee#asses#cosey#riser#unset#upset,6,1.79
gully,semee#gayly#gooly#girly#gully,5,1.87
query,semee#faery#onery#query,4,1.86
vowel,semee#hayey#cooer#toted#novel#vowel,6,1.78
tubal,semee#gayly#alaap#roral#tical#tubal,6,1.92
buxom,semee#thymy#praam#bloom#buxom,5,2.2
baggy,semee#gayly#rangy#taggy#baggy,5,1.89
third,semee#gayly#poori#chirr#third,5,1.9
fetus,semee#gesso#years#teils#netts#fetus,6,1.82
champ,semee#thymy#whamo#champ,4,2.07
emcee,semee#emcee,2,1.77
broil,semee#gayly#loord#broil,4,1.94
ninny,semee#gayly#rooty#chivy#ninny,5,1.94
ounce,semee#fayre#looie#ounce,4,1.88
water,semee#hayey#caaed#pareo#rater#tater#later#gater#water,9,1.84
shore,semee#sasse#soyle#store#score#snore#shore,7,1.86
power,semee#hayey#cooer#borer#goier#toter#poler#poker#power,9,2.0
ebony,semee#faery#elogy#ebony,4,2.09
storm,semee#smash#stymy#storm,4,1.91
scaly,semee#sassy#soapy#scary#scaly,5,1.83
belch,semee#feyly#pearl#teloi#belch,5,1.8
share,semee#sasse#soare#stare#scare#snare#share,7,1.88
bossy,semee#lassy#tossy#bossy,4,2.19
bible,semee#fayre#looie#tuile#bible,5,2.05
stale,semee#sasse#soare#state#stale,5,2.69
vying,semee#gayly#zygon#tying#nying#hying#dying#vying,8,2.35
agony,semee#gayly#hoagy#agony,4,2.0
cagey,semee#hayey#ravey#lacey#cagey,5,1.86
spree,semee#sycee#saree#soree#siree#spree,6,1.88
smile,semee#styme#smaze#smore#smile,5,2.17
lorry,semee#gayly#loony#lorry,4,2.04
minty,semee#thymy#malty#motty#minty,5,2.12
golly,semee#gayly#gooly#golly,4,1.97
botch,semee#gayly#poori#count#botch,5,2.04
howdy,semee#gayly#rooty#cocky#nouny#bobby#hoppy#howdy,8,2.08
grief,semee#hayey#cooer#tried#brief#prief#grief,7,1.94
repay,semee#feyly#teary#beray#renay#repay,6,1.95
barge,semee#fayre#parae#targe#large#barge,6,1.95
skulk,semee#sassy#sooth#skirr#skull#skulk,6,1.95
trout,semee#gayly#poori#trout,4,2.04
skill,semee#sassy#sooth#skirr#skill,5,1.94
brief,semee#hayey#cooer#tried#brief,5,2.01
flash,semee#lassy#clast#blash#plash#flash,6,2.22
devil,semee#feyly#pearl#ketol#bezil#devil,6,1.94
these,semee#caese#obese#prese#these,5,2.0
robot,semee#gayly#poori#rotor#robot,5,2.07
rumba,semee#yampy#atman#comma#rumba,5,1.97
began,semee#feyly#reata#pecan#began,5,1.95
story,semee#sassy#slyly#sooty#story,5,1.93
taste,semee#rasse#taste,3,1.9
swath,semee#sassy#scala#shako#spahi#snath#swath,7,1.98
mimic,semee#yampy#nomoi#limit#mimic,5,2.1
known,semee#gayly#poori#thoft#knock#known,6,2.14
knock,semee#gayly#poori#thoft#knock,5,2.13
troop,semee#gayly#poori#troop,4,2.08
seize,semee#sease#serre#seine#seize,5,1.94
fluff,semee#gayly#loord#filii#flunk#fluff,6,2.17
wafer,semee#hayey#caaed#pareo#rater#baler#naker#faver#wafer,9,2.08
doing,semee#gayly#boong#toing#hoing#doing,6,2.1
honey,semee#hayey#hooey#holey#honey,5,2.27
whiny,semee#gayly#rooty#chivy#whiny,5,2.25
break,semee#faery#arear#oread#treat#ureal#creak#break,8,2.4
chess,semee#loess#tress#chess,4,2.37
lever,semee#reney#perea#deter#leger#lever,6,2.01
chock,semee#gayly#poori#thoft#chock,5,2.25
shank,semee#sassy#scala#shako#shark#shank,6,2.02
swine,semee#sasse#soyle#surge#shite#spice#swine,7,2.15
serum,semee#seism#serum,3,2.01
truer,semee#hayey#cooer#trier#truer,5,2.14
itchy,semee#gayly#rooty#twiny#pithy#itchy,6,2.38
joist,semee#lassy#roost#hoist#foist#zoist#joist,7,2.38
shoot,semee#sassy#sooth#shoot,4,2.02
happy,semee#gayly#tarry#zaidy#cacky#nanny#baffy#happy,8,2.16
dense,semee#cesse#peyse#tease#herse#weise#lense#dense,8,2.11
decry,semee#feyly#teary#berry#decry,5,2.17
urban,semee#gayly#araba#broad#urban,5,2.26
ankle,semee#fayre#alate#anole#anile#ancle#angle#ankle,8,2.08
terse,semee#cesse#peyse#tease#terse,5,2.03
rhyme,semee#maybe#rhyme,3,2.17
curvy,semee#gayly#rooty#firry#curny#curdy#curvy,7,2.38
avian,semee#gayly#araba#apian#avian,5,2.25
soapy,semee#sassy#soapy,3,2.03
bicep,semee#hayey#cooer#ticed#bicep,5,2.06
lasso,semee#lassy#lasso,3,2.34
ethos,semee#loess#eyots#ethos,4,2.45
scent,semee#syens#scena#scent,4,2.11
smith,semee#smash#smith,3,2.18
gamut,semee#yampy#damar#jamon#gamic#gamut,6,2.16
shied,semee#sises#skiey#slier#stied#shied,6,2.09
quart,semee#gayly#araba#hoard#tuart#quart,6,2.4
whelp,semee#faery#doeth#chelp#whelp,5,2.29
spark,semee#sassy#scala#shako#skart#snark#spark,7,2.18
dryly,semee#gayly#coyly#dryly,4,2.2
trust,semee#lassy#roost#trist#trust,5,2.53
chili,semee#gayly#woold#trill#chili,5,2.88
lusty,semee#lassy#lusty,3,2.33
learn,semee#feyly#pearl#learn,4,2.12
staid,semee#sassy#scala#shako#starr#stain#staid,7,2.17
staff,semee#sassy#scala#shako#starr#stain#staff,7,2.21
twist,semee#lassy#roost#twist,4,2.41
berth,semee#feyly#reata#vertu#nertz#berth,6,2.14
gamma,semee#yampy#damar#lamia#namma#gamma,6,2.12
ruler,semee#hayey#cooer#trier#lurer#ruler,6,2.13
bough,semee#gayly#boong#bough,4,2.26
spunk,semee#sassy#sooth#skirr#slunk#spunk,6,2.18
ghost,semee#lassy#roost#ghost,4,2.35
value,semee#fayre#kanae#haole#walie#calve#value,7,2.23
pouch,semee#gayly#poori#poupt#pouch,5,2.3
stoke,semee#sasse#soyle#store#stone#stope#stoke,7,2.17
cover,semee#hayey#cooer#corer#coper#coder#cower#cover,8,2.27
trash,semee#lassy#agast#trash,4,2.42
ladle,semee#fayre#kanae#haole#table#dalle#ladle,7,2.22
digit,semee#gayly#boong#rigid#digit,5,2.31
ripen,semee#hayey#cooer#tried#rivel#ripen,6,2.24
diary,semee#gayly#ataxy#roary#diary,5,2.34
sworn,semee#sassy#sooth#scour#sworn,5,2.2
scuba,semee#sassy#scala#scopa#scuta#scuba,6,2.23
crest,semee#loess#presa#trest#crest,5,2.52
clank,semee#gayly#alaap#claro#clavi#claut#clach#clank,8,2.38
bleak,semee#faery#aheap#zoeal#ileac#bleat#bleak,7,2.34
vogue,semee#fayre#looie#botte#coupe#vogue,6,2.23
dunce,semee#fayre#looie#butte#punce#dunce,6,2.24
offal,semee#gayly#alaap#roral#octal#offal,6,2.45
quiet,semee#hayey#cooer#ivied#quiet,5,2.25
