answer,guessed,num_guessed,time_to_solve
mince,sayne#ronte#mince,3,1.34
widen,sayne#toner#liken#hizen#widen,5,1.49
chill,sayne#mohur#whipt#child#chili#chill,6,1.51
today,sayne#hoary#today,3,1.48
spawn,sayne#starn#slain#shawn#spawn,5,1.93
bicep,sayne#goier#filet#cimex#bicep,5,1.55
snoop,sayne#sonic#snort#snowk#snobs#snool#snoop,7,1.5
abort,sayne#boart#abort,3,1.46
deter,sayne#goier#tuber#peter#deter,5,1.55
salad,sayne#sapor#saith#sagum#salsa#salal#salad,7,1.56
salsa,sayne#sapor#saith#sagum#salsa,5,1.59
manga,sayne#manor#manic#manul#manat#manga,6,1.52
salty,sayne#savoy#sarky#salty,4,1.45
enter,sayne#toner#niter#enter,4,1.57
coach,sayne#boart#woald#poach#coach,5,1.59
catch,sayne#paoli#garth#batch#match#watch#catch,7,1.53
gipsy,sayne#horsy#tipsy#gipsy,4,1.57
choir,sayne#mohur#choir,3,1.48
tread,sayne#hoaed#begad#tread,4,1.63
close,sayne#torse#close,3,1.48
clued,sayne#goier#bluet#clued,4,1.55
sheep,sayne#soler#stied#squeg#shmek#sheep,6,1.59
steak,sayne#spaer#setal#sceat#stead#steak,6,1.63
troop,sayne#mohur#droit#trock#troop,5,1.55
sever,sayne#soler#shier#suber#serer#sefer#seder#sewer#sever,9,1.6
depth,sayne#goier#delft#depth,4,2.2
dodge,sayne#forte#moile#coupe#bodge#wodge#dodge,7,1.62
slain,sayne#starn#slain,3,1.57
strut,sayne#sohur#sirup#strum#strut,5,1.57
skate,sayne#soare#slate#spate#skate,5,1.53
alarm,sayne#boart#liard#alarm,4,1.57
frond,sayne#corni#front#frond,4,1.58
baker,sayne#pareo#taler#caber#baker,5,1.57
thyme,sayne#hoyle#rhyme#thyme,4,1.57
exalt,sayne#hoaed#peart#exalt,4,1.65
zebra,sayne#hoaed#petar#ceria#zebra,5,1.74
sugar,sayne#shako#sitar#sugar,4,1.54
krill,sayne#mohur#dript#brick#krill,5,1.63
gleam,sayne#hoaed#petar#ileac#bleak#fleam#gleam,7,1.79
revel,sayne#goier#cruet#kerel#rebel#repel#refel#revel,8,1.7
algae,sayne#roate#pilae#algae,4,1.63
spree,sayne#socle#surge#siree#spree,5,1.63
carat,sayne#paoli#garth#carat,4,1.68
hyena,sayne#leany#hyena,3,1.65
bunny,sayne#corny#twiny#gynny#bunny,5,1.63
snuff,sayne#sonic#spurn#snush#snuff,5,1.75
young,sayne#corny#young,3,1.59
denim,sayne#toner#genic#denim,4,1.7
scarf,sayne#shako#stair#scarp#scarf,5,1.61
reuse,sayne#torse#crise#reuse,4,1.66
apple,sayne#roate#pilae#ample#apple,5,1.72
alpha,sayne#boart#phial#alpha,4,1.76
drink,sayne#corni#print#bring#drink,5,1.71
urine,sayne#borne#trine#crine#urine,5,1.6
alley,sayne#agley#alley,3,1.81
champ,sayne#boart#miaul#champ,4,1.77
along,sayne#piano#along,3,1.63
ovoid,sayne#mohur#viold#ovoid,4,1.66
buxom,sayne#mohur#duomi#buxom,4,1.7
blame,sayne#roate#image#clame#blame,5,1.76
stoke,sayne#socle#store#stope#stoke,5,1.81
afoul,sayne#boart#cloak#ahold#afoul,5,1.72
slant,sayne#slant,2,1.7
bilge,sayne#forte#clipe#bilge,4,1.79
plied,sayne#goier#quiet#clied#plied,5,1.74
ridge,sayne#forte#cripe#livre#ridge,5,1.73
zesty,sayne#cosey#resty#pesty#festy#zesty,6,1.88
alive,sayne#roate#pilae#alike#alive,5,1.73
trait,sayne#boart#krait#trait,4,1.74
kinky,sayne#noily#rindy#minty#zincy#bingy#hinky#pinky#kinky,9,1.85
tried,sayne#goier#tried,3,1.73
bugle,sayne#forte#clipe#bugle,4,1.85
pushy,sayne#horsy#fishy#tushy#lushy#cushy#bushy#pushy,8,1.92
merry,sayne#corey#ferly#herby#perdy#germy#merry,7,1.92
labor,sayne#paoli#valor#labor,4,1.8
guide,sayne#forte#clipe#guide,4,1.85
sleep,sayne#soler#shiel#slued#sleet#sleep,6,1.75
where,sayne#forte#cripe#umbre#where,5,1.88
forge,sayne#forte#force#forge,4,1.87
loopy,sayne#borty#doily#folky#loopy,5,1.9
floor,sayne#mohur#livor#floor,4,1.73
shirt,sayne#sohur#shirt,3,1.74
gully,sayne#borty#chivy#plumy#fugly#gully,6,1.89
token,sayne#toner#token,3,1.89
cheat,sayne#hoaed#gerah#cheat,4,1.86
drape,sayne#roate#irade#drape,4,1.77
berth,sayne#goier#vertu#berth,4,1.81
trove,sayne#forte#trope#trode#troke#trove,6,1.96
armor,sayne#boart#croak#argol#ardor#armor,6,1.83
groin,sayne#porin#groin,3,1.82
surge,sayne#socle#surge,3,1.79
latch,sayne#paoli#jarul#waltz#latch,5,1.84
witty,sayne#borty#whity#wifty#witty,5,1.97
frill,sayne#mohur#dript#brick#frill,5,1.84
frail,sayne#boart#frail,3,1.82
bough,sayne#mohur#touch#lough#bough,5,2.0
loamy,sayne#hoary#toady#coaly#loamy,5,1.97
obese,sayne#torse#close#obese,4,1.85
hymen,sayne#toney#hymen,3,1.95
shove,sayne#socle#store#shope#shove,5,1.8
cache,sayne#haole#rathe#mache#cache,5,1.78
torch,sayne#mohur#torch,3,1.9
plush,sayne#torsi#blush#plush,4,1.89
chunk,sayne#corni#clung#chunk,4,1.9
mover,sayne#goier#toper#lower#coder#fouer#boxer#homer#mover,9,2.06
cubic,sayne#mohur#built#pubic#cubic,5,1.91
imbue,sayne#forte#clipe#kidge#juvie#imbue,6,1.87
plier,sayne#goier#twier#plier,4,1.94
erase,sayne#urase#prase#erase,4,2.0
payee,sayne#fayre#bayle#payee,4,2.0
drunk,sayne#corni#brunt#grund#drunk,5,1.84
trace,sayne#roate#trace,3,1.97
sheen,sayne#soken#siren#semen#steen#sheen,6,1.88
arrow,sayne#boart#croak#argol#ardor#arrow,6,1.98
sprig,sayne#sohur#sprit#sprig,4,1.86
slime,sayne#socle#slipe#slide#slime,5,1.95
badge,sayne#haole#targe#cadge#badge,5,1.86
stare,sayne#soare#stare,3,1.85
dandy,sayne#narky#tangy#manly#candy#bandy#handy#pandy#dandy,9,1.93
mossy,sayne#horsy#tousy#copsy#lossy#bossy#mossy,7,2.07
ramen,sayne#oaten#paren#ramen,4,1.86
penny,sayne#peony#penny,3,2.01
curry,sayne#borty#girly#curdy#curvy#curry,6,1.98
stood,sayne#sohur#stoic#stomp#stots#stool#stood,7,1.97
cling,sayne#corni#clint#cling,4,2.05
macho,sayne#paoli#tabor#macho,4,2.1
error,sayne#goier#fetor#ephor#error,5,1.99
cater,sayne#pareo#taler#cater,4,2.08
flail,sayne#boart#miaul#avail#flail,5,1.98
robot,sayne#mohur#toric#poort#robot,5,1.98
fuzzy,sayne#borty#chivy#plumy#fudgy#fuzzy,6,2.01
poser,sayne#loser#hoser#poser,4,2.24
guile,sayne#forte#clipe#guile,4,2.07
foggy,sayne#borty#doily#comfy#foggy,5,1.94
pearl,sayne#hoaed#peart#pearl,4,2.05
mercy,sayne#corey#mercy,3,2.02
sorry,sayne#soily#softy#soupy#sooky#sorry,6,2.13
finch,sayne#porin#nicht#linch#finch,5,2.2
crash,sayne#roast#crash,3,2.23
bloat,sayne#boart#bloat,3,2.0
lucid,sayne#mohur#built#pugil#lucid,5,2.01
every,sayne#corey#reify#predy#query#emery#every,7,2.11
style,sayne#soyle#style,3,1.91
abhor,sayne#boart#abhor,3,2.03
savor,sayne#sapor#savor,3,1.97
pilot,sayne#mohur#viold#pilot,4,2.2
catty,sayne#tardy#laity#bawty#catty,5,2.2
which,sayne#mohur#whipt#whilk#which,5,2.0
ashen,sayne#antes#ashen,3,2.35
sewer,sayne#soler#shier#suber#serer#sefer#seder#sewer,8,2.07
smear,sayne#spaer#segar#stear#shear#skear#smear,7,2.05
ficus,sayne#torsi#misch#licks#ficus,5,2.06
parse,sayne#carse#parse,3,1.98
nasty,sayne#tansy#nasty,3,2.02
churn,sayne#porin#churn,3,2.02
risen,sayne#noser#risen,3,2.2
taken,sayne#oaten#tapen#taken,4,2.26
stole,sayne#socle#stole,3,2.2
hotel,sayne#goier#volet#towel#botel#hotel,6,2.18
glory,sayne#borty#proxy#ivory#flory#glory,6,2.09
bulge,sayne#forte#clipe#bugle#bulge,5,2.07
trick,sayne#mohur#dript#trick,4,2.11
elite,sayne#forte#blite#elite,4,2.09
fifth,sayne#mohur#whipt#filth#fifth,5,2.16
goner,sayne#toner#loner#boner#honer#doner#goner,7,2.26
fiery,sayne#corey#reify#fiery,4,2.41
prowl,sayne#mohur#droit#prowl,4,2.12
pouty,sayne#borty#jolty#pouty,4,2.12
swing,sayne#sound#skint#sling#swing,5,2.04
moldy,sayne#borty#doily#goldy#moldy,5,2.09
avail,sayne#boart#miaul#avail,4,2.11
adept,sayne#hoaed#cedar#adept,4,2.25
annul,sayne#ngaio#urnal#annul,4,2.23
harpy,sayne#tardy#parly#harpy,4,2.11
parer,sayne#pareo#pareu#pared#parev#parer,6,2.21
camel,sayne#pareo#valet#camel,4,2.16
brisk,sayne#torsi#crisp#brisk,4,2.17
fetid,sayne#goier#fecit#fetid,4,2.35
hunky,sayne#noily#runty#cundy#bungy#hunky,6,2.38
loose,sayne#torse#hoise#louse#lowse#loose,6,2.15
novel,sayne#toner#novel,3,2.21
smite,sayne#socle#surge#shite#spite#skite#smite,7,2.27
punch,sayne#porin#punch,3,2.17
lucky,sayne#borty#chivy#lucky,4,2.17
flood,sayne#mohur#viold#blood#flood,5,2.2
death,sayne#hoaed#death,3,2.2
graph,sayne#boart#frail#cramp#prahu#graph,6,2.42
sword,sayne#sohur#sport#slorm#sword,5,2.41
final,sayne#ngaio#dinar#binal#final,5,2.38
admit,sayne#boart#ducat#admit,4,2.43
ninja,sayne#ngaio#nidal#ninja,4,2.34
fully,sayne#borty#chivy#plumy#fugly#fully,6,2.27
snarl,sayne#starn#snarl,3,2.32
verge,sayne#forte#birle#curve#verge,5,2.2
belch,sayne#goier#delft#belch,4,2.21
tepid,sayne#goier#fecit#tepid,4,2.26
bulky,sayne#borty#blimy#bulgy#bulky,5,2.18
stain,sayne#starn#stain,3,2.34
blond,sayne#corni#thong#blond,4,2.28
leant,sayne#beano#leant,3,2.22
palsy,sayne#karsy#daisy#patsy#palsy,5,2.25
spark,sayne#shako#skart#spark,4,2.22
robin,sayne#porin#robin,3,2.2
biome,sayne#forte#biome,3,2.2
gland,sayne#piano#brant#clang#gland,5,2.2
flack,sayne#boart#miaul#plack#flack,5,2.42
envoy,sayne#toney#onery#envoy,4,2.28
furor,sayne#mohur#fluor#furor,4,2.25
often,sayne#toner#oncet#often,4,2.43
flaky,sayne#hoary#bialy#platy#flaky,5,2.45
setup,sayne#soler#sepic#setup,4,2.47
shame,sayne#soare#slate#space#suave#shade#shake#shame,8,2.27
chick,sayne#mohur#whipt#child#chich#chick,6,2.46
quest,sayne#loser#heist#guest#quest,5,2.7
cycle,sayne#myope#kyrie#lythe#cycle,5,2.28
buggy,sayne#borty#blimy#buppy#buffy#buddy#buggy,7,2.38
baggy,sayne#tardy#haily#campy#gauzy#baggy,6,2.28
budge,sayne#forte#clipe#budge,4,2.28
gassy,sayne#karsy#daisy#patsy#mausy#gawsy#gassy,7,2.29
prick,sayne#mohur#dript#prick,4,2.45
dally,sayne#tardy#daily#dally,4,2.57
tonic,sayne#porin#tonic,3,2.39
relax,sayne#hoaed#petar#feral#relax,5,2.39
cheer,sayne#goier#tuber#ferer#cheer,5,2.34
twang,sayne#piano#brant#thang#twang,5,2.47
gooey,sayne#corey#motey#holey#bogey#gooey,6,2.39
sloop,sayne#sohur#stoic#slojd#slobs#sloop,6,2.3
frock,sayne#mohur#droit#prowl#brock#frock,6,2.38
itchy,sayne#borty#tichy#itchy,4,2.3
tonal,sayne#ngaio#toran#tonal,4,2.53
easel,sayne#paseo#taser#lased#easel,5,2.35
prude,sayne#forte#cripe#prude,4,2.56
delta,sayne#hoaed#cedar#delta,4,2.45
tonga,sayne#ngaio#logan#tonga,4,2.77
guild,sayne#mohur#built#guild,4,2.46
peach,sayne#hoaed#reach#teach#leach#beach#peach,7,2.46
brown,sayne#porin#crown#brown,4,2.56
homer,sayne#goier#toper#lower#coder#fouer#boxer#homer,8,2.52
slash,sayne#shako#spahi#scath#slash,5,2.37
groan,sayne#ngaio#logan#groan,4,2.42
colon,sayne#porin#jotun#colon,4,2.52
safer,sayne#saber#safer,3,2.36
halve,sayne#haole#halve,3,2.33
round,sayne#corni#round,3,2.32
briar,sayne#boart#burka#briar,4,2.45
botch,sayne#mohur#hoick#botch,4,2.69
soapy,sayne#soapy,2,2.61
radio,sayne#paoli#ratio#radio,4,2.38
ombre,sayne#forte#prole#ochre#ombre,5,2.72
quell,sayne#goier#delft#blech#quell,5,2.48
aorta,sayne#boart#tolar#porta#aorta,5,2.8
larva,sayne#paoli#jarul#larch#larva,5,2.58
comic,sayne#mohur#vomit#comix#comic,5,2.59
puffy,sayne#borty#chivy#plumy#pudgy#puffy,6,2.56
react,sayne#hoaed#peart#react,4,2.52
graze,sayne#roate#irade#crape#brake#frame#grave#graze,8,2.74
kitty,sayne#borty#whity#kilty#kitty,5,2.59
spunk,sayne#sound#shunt#slung#spunk,5,2.41
grove,sayne#forte#prole#crome#broke#drove#grove,7,2.51
sheer,sayne#soler#shier#sheer,4,2.4
gripe,sayne#forte#cripe#gripe,4,2.48
quash,sayne#roast#quasi#quash,4,2.49
oxide,sayne#forte#biome#olive#oxide,5,2.47
motto,sayne#mohur#motif#motto,4,2.43
clack,sayne#boart#miaul#plack#flack#alack#clack,7,2.52
super,sayne#soler#shier#suber#super,5,2.6
truck,sayne#mohur#bruit#truck,4,2.48
minty,sayne#noily#rindy#minty,4,2.72
dying,sayne#corny#tying#lying#hying#dying,6,2.66
roast,sayne#roast,2,2.53
array,sayne#hoary#array,3,2.54
toxin,sayne#porin#toxin,3,2.5
scuba,sayne#shako#sitar#sulfa#scuba,5,2.8
shoal,sayne#shako#shoat#shoal,4,2.64
exile,sayne#forte#clipe#guile#while#edile#exile,7,2.81
flare,sayne#roate#irade#blare#flare,5,2.58
micro,sayne#mohur#micro,3,2.51
tamer,sayne#pareo#taler#taber#taker#tamer,6,2.59
thing,sayne#corni#flint#thing,4,2.54
embed,sayne#goier#bluet#zebec#ebbed#embed,6,2.66
ditto,sayne#mohur#viold#dicot#ditto,5,2.56
maize,sayne#haole#targe#baize#maize,5,2.57
ahead,sayne#hoaed#jehad#ahead,4,2.64
usher,sayne#loser#usher,3,2.86
lathe,sayne#haole#lathe,3,2.49
flora,sayne#boart#awork#ixora#flora,5,2.61
lumpy,sayne#borty#chivy#plumy#lumpy,5,2.67
filth,sayne#mohur#whipt#filth,4,2.86
qualm,sayne#boart#miaul#qualm,4,2.62
shank,sayne#slant#scand#shank,4,2.57
scree,sayne#socle#spice#scute#scree,5,2.62
putty,sayne#borty#whity#fluty#umpty#putty,6,2.74
stall,sayne#shako#stair#stamp#stats#stall,6,2.61
clove,sayne#forte#biome#cloke#clove,5,2.58
bylaw,sayne#hoary#typal#bylaw,4,2.61
moral,sayne#boart#polar#coral#horal#goral#moral,7,2.71
condo,sayne#porin#donut#condo,4,2.75
liege,sayne#forte#clipe#bilge#liege,5,2.65
gaunt,sayne#garni#gaunt,3,2.89
drown,sayne#porin#crown#brown#frown#drown,6,2.74
scrum,sayne#sohur#sirup#strum#scrum,5,2.74
caddy,sayne#tardy#zaidy#baldy#gaudy#caddy,6,2.68
mammy,sayne#tardy#haily#campy#gamay#jammy#mammy,7,2.7
broke,sayne#forte#prole#crome#broke,5,2.72
pouch,sayne#mohur#touch#pouch,4,2.64
patch,sayne#paoli#parch#patch,4,2.74
wreak,sayne#hoaed#petar#ureal#creak#break#freak#wreak,8,2.8
depot,sayne#goier#helot#depot,4,2.7
repay,sayne#agley#teary#beray#repay,5,2.96
patio,sayne#paoli#patio,3,2.74
candy,sayne#narky#tangy#manly#candy,5,2.65
smote,sayne#socle#store#shote#smote,5,2.62
agape,sayne#roate#image#glace#agape,5,2.67
other,sayne#goier#twoer#outer#other,5,3.06
cargo,sayne#paoli#tabor#cargo,4,2.98
civic,sayne#mohur#clipt#civic,4,2.85
droll,sayne#mohur#droit#drool#droll,5,2.79
