answer,guessed,num_guessed,time_to_solve
slide,roate#slice#slide,3,2.16
stark,roate#liart#starn#stark,4,1.72
begat,oater#telia#neats#defat#bepat#begat,6,2.07
squib,orate#lysin#budis#squib,4,1.82
whoop,oater#loins#yucko#whomp#whoop,5,1.77
dozen,oater#solei#coney#nowed#doven#dozen,6,1.9
reedy,orate#slier#quern#reech#reedy,5,2.38
leapt,oater#telia#leats#leant#leapt,5,2.55
novel,roate#solei#loden#novel,4,2.23
sloth,roate#clots#sloth,3,1.66
manor,roate#carol#sapor#manor,4,2.29
moose,orate#locie#sonde#youse#posse#moose,6,2.19
price,roate#birle#crise#drice#price,5,2.53
chide,orate#slice#chine#chide,4,2.53
porch,roate#loirs#cornu#porch,4,2.04
snuck,oater#lysin#snuck,3,2.12
merit,orate#relit#merit,3,2.6
rebar,orate#lares#aiery#redan#recap#rehab#rebar,7,2.08
bound,orate#linos#ycond#hound#pound#mound#bound,7,2.13
fifth,orate#lints#dicty#fifth,4,1.75
igloo,orate#lions#dolci#igloo,4,1.96
brown,roate#droil#crons#proyn#grown#brown,6,1.84
essay,oater#aisle#essay,3,1.96
lasso,orate#aloin#calos#lasso,4,4.08
greed,orate#ervil#grens#greed,4,1.91
humus,roate#lysin#ducks#humps#humfs#humus,6,1.87
gamut,roate#alist#daunt#caput#bahut#gamut,6,2.09
sonar,oater#solar#sonar,3,1.95
trunk,oater#tirls#trunk,3,2.01
later,oater#later,2,2.6
chock,orate#lions#choux#choky#chowk#chook#chock,7,2.06
erect,oater#relit#crest#erect,4,2.49
fetch,orate#teils#meynt#fetch,4,1.96
polar,orate#solar#polar,3,2.05
grout,orate#triol#crost#front#grout,5,2.21
eater,oater#later#cater#dater#hater#pater#mater#gater#water#rater#eater,11,2.79
small,oater#slain#scaly#spald#shalm#small,6,1.81
globe,oater#eloin#close#ploye#glode#globe,6,2.85
idler,roate#slier#liner#idler,4,2.44
minim,roate#lysin#dinic#minim,4,2.19
torus,orate#lirot#torcs#torus,4,1.98
filer,roate#slier#liner#piler#miler#filer,6,2.1
sword,oater#roils#scorn#sword,4,1.97
chick,roate#lysin#fichu#chimp#chick,5,1.89
vault,oater#tails#dault#hault#gault#fault#vault,7,2.16
sushi,roate#lysin#discs#sushi,4,2.11
cider,roate#leirs#nicer#cider,4,2.4
epoxy,oater#eloin#epoch#epoxy,4,2.85
raise,orate#raile#raise,3,1.83
steel,orate#lites#steel,3,2.59
north,oater#triol#snort#north,4,2.37
boost,orate#toils#souct#gosht#boost,5,1.95
chief,roate#lenis#dicey#chief,4,2.31
elide,orate#slice#ylike#glide#elide,5,1.9
vomit,oater#toils#nooit#vomit,4,2.45
viral,oater#arils#riyal#viral,4,2.25
mercy,oater#riels#cerne#mercy,4,2.18
flaky,orate#slain#clach#blaud#playa#flamy#flaky,7,2.51
roach,orate#claro#roach,3,2.38
golem,roate#solei#coley#holed#golem,5,2.18
foyer,roate#eorls#goier#doner#coyer#foyer,6,1.95
funky,orate#lysin#cundy#hunky#punky#gunky#funky,7,2.09
smelt,orate#teils#spelt#smelt,4,2.25
jerky,oater#liers#cerne#perdu#herby#germy#jerky,7,2.75
rusty,orate#dirts#rusty,3,2.14
aloft,roate#altos#aloft,3,2.57
basil,oater#nails#salic#basil,4,2.64
rajah,oater#rails#ranch#rayah#rajah,5,2.31
rebus,oater#leirs#rends#recks#rebus,5,2.23
fauna,orate#nails#cajun#maund#fauna,5,2.15
mount,orate#toils#count#mount,4,2.12
sieve,orate#slice#singe#sidhe#sieve,5,2.53
sooth,roate#volti#ponts#south#sowth#sooth,6,2.3
shone,orate#locie#shone,3,2.25
dodgy,orate#lions#coypu#howdy#dodgy,5,4.6
snake,roate#liane#snake,3,2.12
buxom,roate#linos#choom#buxom,4,2.09
croup,oater#loirs#crony#croup,4,2.81
myrrh,roate#nirls#curdy#myrrh,4,2.2
hasty,oater#tails#canst#hasty,4,2.13
bride,orate#brule#brise#brine#bride,5,2.68
brunt,oater#tirls#runty#prunt#grunt#brunt,6,2.28
brain,roate#liars#drain#grain#brain,5,2.54
synod,roate#linos#synod,3,2.25
forty,roate#dorts#north#porty#borty#forty,6,3.16
heart,roate#tears#heart,3,2.05
foamy,oater#aloin#codas#mohua#foamy,5,2.45
suite,roate#blite#suite,3,1.94
dowry,orate#loirs#yourn#cowry#dowry,5,2.55
