answer,guessed,num_guessed,time_to_solve
viral,orate#liras#viral,3,3.13
stuff,orate#tulsi#shunt#stuck#study#stump#stubs#stuff,8,3.8
vigil,roate#lysin#bluid#civil#vigil,5,3.06
smack,roate#snail#scaud#spacy#shack#smack,6,3.9
aider,orate#laers#ceria#aider,4,3.53
stain,oater#alist#tinas#stain,4,3.22
frond,oater#loris#crony#brond#frond,5,2.73
whiny,orate#lysin#mincy#unify#whiny,5,4.29
flask,oater#anils#clash#plasm#flask,5,4.9
penny,oater#lenis#dench#venue#penny,5,2.49
pouch,roate#noils#coypu#pouch,4,2.4
pygmy,oater#lysin#hyphy#pygmy,4,3.88
tough,oater#toils#towny#touch#tough,5,3.01
jewel,roate#lenis#belch#deely#gemel#kevel#jewel,7,3.2
stash,oater#alist#stash,3,3.01
tawny,orate#litas#daunt#tawny,4,4.23
metal,orate#telia#setal#petal#metal,5,2.78
midge,orate#slice#indue#midge,4,4.05
uncle,roate#slice#uncle,3,2.3
urine,oater#riels#crine#urine,4,4.1
happy,oater#nails#gaucy#dampy#happy,5,3.41
derby,oater#liers#prune#mercy#derby,5,2.73
awoke,roate#alone#apode#amove#awoke,5,2.67
trial,orate#trial,2,3.62
meter,roate#liter#cuter#ester#deter#peter#meter,7,3.6
glade,roate#liane#scale#glade,4,4.51
annoy,oater#aloin#ancho#annoy,4,3.23
shunt,roate#tulsi#shunt,3,3.6
pouty,oater#toils#count#youth#pouty,5,4.77
hello,orate#solei#pelon#cello#hello,5,2.59
satyr,oater#satyr,2,2.79
turbo,orate#lirot#torcs#turbo,4,2.7
welsh,orate#elsin#luces#speld#welsh,5,2.29
antic,oater#litas#actin#antic,4,3.58
afire,oater#seral#areic#afire,4,4.34
shock,orate#noils#scudo#shock,4,3.28
rally,roate#rails#rawly#rally,4,2.6
salve,roate#aisle#salue#salve,4,4.7
prick,oater#nirls#chiru#pricy#prick,5,3.74
bleed,oater#silen#cluey#gleed#bleed,5,3.18
fatal,roate#tails#latch#natal#datal#fatal,6,4.62
moose,orate#locie#sonde#youse#bowse#posse#moose,7,4.26
taken,oater#tales#tapen#taken,4,4.11
pesto,roate#lento#pesto,3,2.23
